ContactID,Name,PhoneNumber,Email,App,Suspicious,Notes
CT001,Agposs Kpvausie,+971043321819,agposs@gmail.com,WhatsApp,False,
CT002,Hxjebruzw Whqjjfgy,+911559407816,hxjebruzw@protonmail.com,Telegram,True,protonmail
CT003,Ugfywirk Xddtotlp,+913276483503,ugfywirk@mail.com,Other,False,
CT004,Nwasrngqc Lassztnc,+910122691669,nwasrngqc@company.org,Telegram,False,
CT005,Vggoctv Ztdmogwlf,+912880957015,vggoctv@mail.com,SMS,False,
CT006,Fasbba Igrfdyomu,+915787133150,fasbba@mail.com,WhatsApp,False,
CT007,Celkhg Yvwcqoac,+916566701065,celkhg@mail.com,Telegram,False,
CT008,Srmefbtbi Bnweycep,+917360260647,srmefbtbi@mail.com,Other,False,
CT009,Yrigdq Laqoc,+919399091699,yrigdq@company.org,SMS,False,
CT010,Uavhryddc Ohfirwn,+915135427849,uavhryddc@example.com,WhatsApp,False,
CT011,Obwxo Volbjyzbj,+971400524278,obwxo@example.com,SMS,False,
CT012,Kgucww Fjvwfrkh,+446923226025,kgucww@protonmail.com,SMS,True,protonmail
CT013,ShadowOps,+971685014294,shadowops@gmail.com,Other,False,
CT014,Ujbrii Wnrisoe,+971816934060,ujbrii@hotmail.com,Telegram,False,
CT015,Ilfmxuec Nivtrffag,+971468044369,ilfmxuec@example.com,Other,False,
CT016,Umoxddmno Ipsnvoxt,+919367632016,umoxddmno@gmail.com,Telegram,False,
CT017,Xdgss Bimbvkuy,+444873471434,xdgss@darkmail.pro,Other,True,
CT018,Mirkemdq Aprclweg,+915466889373,mirkemdq@protonmail.com,SMS,True,protonmail
CT019,Btyfa Dmcymg,+916464170805,btyfa@company.org,WhatsApp,False,
CT020,Rcuwpd Zjljn,+442419049663,rcuwpd@protonmail.com,Other,True,protonmail
CT021,Vgwvcwgmp Jmimj,+915726284987,vgwvcwgmp@gmail.com,SMS,False,
CT022,Afrhpmn Lishgdfdn,+918313678377,afrhpmn@mail.com,Telegram,False,
CT023,Hdbbhyqtc Amlebym,+917498941343,hdbbhyqtc@hotmail.com,Other,False,
CT024,Uujxhp Lqptyffre,+910229413186,uujxhp@protonmail.com,Telegram,True,protonmail
CT025,Yryloqxvb Epvxlmh,+917974034471,yryloqxvb@gmail.com,Other,False,
CT026,Aotenlh Zqmcjirw,+919065940139,aotenlh@hotmail.com,SMS,False,
CT027,Kvawmbnqm Lfoyl,+971680715451,kvawmbnqm@example.com,WhatsApp,False,
CT028,Xyqeyhsk Mgojxnww,+79324808613,xyqeyhsk@hotmail.com,SMS,False,
CT029,Itjywzgjw Ktsvkrv,+18404499727,itjywzgjw@hotmail.com,WhatsApp,False,
CT030,Zmzis Qwwjist,+919517187026,zmzis@example.com,WhatsApp,False,
CT031,CryptoTrader,+914316117240,cryptotrader@gmail.com,Other,False,
CT032,Mdlggauxr Eyzhzrlh,+918692221969,mdlggauxr@hotmail.com,WhatsApp,False,
CT033,Uxtvx Upjqqr,+919594406409,uxtvx@mail.com,WhatsApp,False,
CT034,Euwjnh Ezhwumbt,+10470952145,euwjnh@hotmail.com,SMS,False,
CT035,Yrmqy Ifbvxhkdy,+916048175496,yrmqy@hotmail.com,WhatsApp,False,
CT036,Vkyajlywc Rxqbhzyvc,+918267586926,vkyajlywc@darkmail.pro,WhatsApp,True,
CT037,Guphzz Ocwdju,+915329318393,guphzz@example.com,Telegram,False,
CT038,Nbuwnlzbm Kmxbc,+912681177589,nbuwnlzbm@example.com,Telegram,False,
CT039,Uwqts Fxkvksii,+919856984789,uwqts@protonmail.com,Other,True,protonmail
CT040,Rjrtwszp Jnemwjoch,+911161528098,rjrtwszp@hotmail.com,WhatsApp,False,
